act,scene,type,character,text
Act 1,Introduction,description,,"THE PLACE OF THE PLAY Various locations in
and around the City of London, including Scrooge’s
Chambers and Offices; the Cratchit Home; Fred’s
Home; Scrooge’s School; Fezziwig’s Offices; Old Joe’s
Hide-a-Way."
Act 1,Introduction,description,,"THE TIME OF THE PLAY The entire action of the
play takes place on Christmas Eve, Christmas Day, and
the morning after Christmas, 1843."
Act 1,Scene 1,description,,"[Ghostly music in auditorium. A single spotlight on Jacob Marley,
D.C. He is ancient; awful, dead-eyed. He speaks straight out to
auditorium.]"
Act 1,Scene 1,dialogue,Marley,"[Cackle-voiced] My name is Jacob Marley and I am
dead. [He laughs.] Oh, no, there’s no doubt that I am dead.
The register of my burial was signed by the clergyman, the
clerk, the undertaker . . . and by my chief mourner . . .
Ebenezer Scrooge . . . [Pause; remembers] I am dead as a
doornail."
Act 1,Scene 1,description,,"[A spotlight fades up, Stage Right, on Scrooge, in his counting-
house counting. Lettering on the window behind Scrooge reads:
“Scrooge and Marley, Ltd.” The spotlight is tight on Scrooge’s
head and shoulders. We shall not yet see into the offices and setting.
Ghostly music continues, under. Marley looks across at Scrooge;
pitifully. After a moment’s pause]"
Act 1,Scene 1,dialogue,Marley,"I present him to you: Ebenezer Scrooge . . . England’s most
tightfisted hand at the grindstone, Scrooge! a squeezing,
wrenching, grasping, scraping, clutching, covetous, old
sinner! secret, and self-contained, and solitary as an oyster.
The cold within him freezes his old features, nips his pointed
nose, shrivels his cheek, stiffens his gait; makes his eyes red,
his thin lips blue; and speaks out shrewdly in his grating
voice. Look at him. Look at him . . ."
Act 1,Scene 1,description,,[Scrooge counts and mumbles.]
Act 1,Scene 1,dialogue,Scrooge,"They owe me money and I will collect. I will have
them jailed, if I have to. They owe me money and I will
collect what is due me."
Act 1,Scene 1,description,,"[Marley moves towards Scrooge; two steps. The spotlight stays
with him.]"
Act 1,Scene 1,dialogue,Marley,"[Disgusted] He and I were partners for I don’t know
how many years. Scrooge was my sole executor, my sole
administrator, my sole assign, my sole residuary legatee,
my sole friend and my sole mourner. But Scrooge was not so cut
up by the sad event of my death, but that he was an excellent
man of business on the very day of my funeral, and
solemnized it with an undoubted bargain. [Pauses again in
disgust] He never painted out my name from the window.
There it stands, on the window and above the warehouse
door: Scrooge and Marley. Sometimes people new to our
business call him Scrooge and sometimes they call him
Marley. He answers to both names. It’s all the same to him.
And it’s cheaper than painting in a new sign, isn’t it? [Pauses;
moves closer to Scrooge] Nobody has ever stopped him in the
street to say, with gladsome looks, “My dear Scrooge, how
are you? When will you come to see me?” No beggars
implored him to bestow a trifle, no children ever ask him
what it is o’clock, no man or woman now, or ever in his life,
not once, inquire the way to such and such a place. [Marley
stands next to Scrooge now. They share, so it seems, a spotlight.]
But what does Scrooge care of any of this? It is the very thing
he likes! To edge his way along the crowded paths of life,
warning all human sympathy to keep its distance."
Act 1,Scene 1,description,,"[A ghostly bell rings in the distance. Marley moves away from
Scrooge, now, heading D. again. As he does, he “takes” the light:
Scrooge has disappeared into the black void beyond. Marley walks
D.C., talking directly to the audience. Pauses]"
Act 1,Scene 1,dialogue,Marley,"The bell tolls and l must take my leave. You must stay a while
with Scrooge and watch him play out his scroogey life. It is
now the story: the once-upon-a-time. Scrooge is busy in his
counting-house. Where else? Christmas eve and Scrooge is
busy in his counting-house. It is cold, bleak, biting weather
outside: foggy withal: and, if you listen closely, you can
hear the people in the court go wheezing up and down,
beating their hands upon their breasts, and stamping their
feet upon the pavement stones to warm them . . ."
Act 1,Scene 1,description,,[The clocks outside strike three.]
Act 1,Scene 1,dialogue,Marley,"Only three! and quite dark outside already: it has not been
light all day this day."
Act 1,Scene 1,description,,[This ghostly bell rings in the distance again. Marley looks about him. Music in. Marley flies away.]
Act 1,Scene 1,description,,"[N.B. Marley’s comings and goings should, from time to time,
induce the explosion of the odd flash-pot, I.H.]"
Act 1,Scene 2,description,,"[Christmas music in, sung by a live chorus, full. At conclusion of
song, sound fades under and into the distance. Lights up in set:
offices of Scrooge and Marley, Ltd. Scrooge sits at his desk, at
work. Near him is a tiny fire. His door is open and in his line of
vision, we see Scrooge’s clerk, Bob Cratchit, who sits in a dismal
tank of a cubicle, copying letters. Near Cratchit is a fire so tiny as
to barely cast a light: perhaps it is one pitifully glowing coal?
Cratchit rubs his hands together, puts on a white comforter4
andtries to heat his hands around his candle. Scrooge’s Nephew
enters, unseen.]"
Act 1,Scene 2,dialogue,Scrooge,"What are you doing, Cratchit? Acting cold, are
you? Next, you’ll be asking to replenish your coal from my
coal-box, won’t you? Well, save your breath, Cratchit! Unless
you’re prepared to find employ elsewhere!"
Act 1,Scene 2,dialogue,Nephew,"[Cheerfully; surprising Scrooge] A merry Christmas
to you, Uncle! God save you!"
Act 1,Scene 2,dialogue,Scrooge,Bah! Humbug!
Act 1,Scene 2,dialogue,Nephew,"Christmas a “humbug,” Uncle? I’m sure you don’t
mean that."
Act 1,Scene 2,dialogue,Scrooge,"I do! Merry Christmas? What right do you have to
be merry? What reason have you to be merry? You’re poor
enough!"
Act 1,Scene 2,dialogue,Nephew,"Come, then. What right have you to be dismal?
What reason have you to be morose? You’re rich enough."
Act 1,Scene 2,dialogue,Scrooge,Bah! Humbug!
Act 1,Scene 2,dialogue,Nephew,"Don’t be cross, Uncle."
Act 1,Scene 2,dialogue,Scrooge,"What else can I be? Eh? When I live in a world of
fools such as this? Merry Christmas? What’s Christmastime
to you but a time of paying bills without any money; a time
for finding yourself a year older, but not an hour richer. If I
could work my will, every idiot who goes about with “Merry
Christmas” on his lips, should be boiled with his own
pudding, and buried with a stake of holly through his heart.
He should!"
Act 1,Scene 2,dialogue,Nephew,Uncle!
Act 1,Scene 2,dialogue,Scrooge,"Nephew! You keep Christmas in your own way
and let me keep it in mine."
Act 1,Scene 2,dialogue,Nephew,"Keep it! But you don’t keep it, Uncle."
Act 1,Scene 2,dialogue,Scrooge,"Let me leave it alone, then. Much good it has ever
done you!"
Act 1,Scene 2,dialogue,Nephew,"There are many things from which I have derived
good, by which I have not profited, I daresay. Christmas
among the rest. But l am sure that l always thought of
Christmas time, when it has come round—as a good time: the
only time I know of, when men and women seem to open
their shut-up hearts freely, and to think of people below them
as if they really were fellow-passengers to the grave, and not
another race of creatures bound on other journeys. And
therefore, Uncle, though it has never put a scrap of gold or
silver in my pocket, I believe that it has done me good, and
that it will do me good; and I say, God bless it!"
Act 1,Scene 2,description,,"[The Clerk in the tank applauds, looks at the furious Scrooge and
pokes out his tiny fire, as if in exchange for the moment of
impropriety. Scrooge yells at him.]"
Act 1,Scene 2,dialogue,Scrooge,"[To the clerk] Let me hear another sound from you
and you’ll keep your Christmas by losing your situation. [To
the nephew] You’re quite a powerful speaker, sir. I wonder you
don’t go into Parliament."
Act 1,Scene 2,dialogue,Nephew,"Don’t be angry, Uncle. Come! Dine with us
tomorrow."
Act 1,Scene 2,dialogue,Scrooge,"I’d rather see myself dead than see myself with
your family!"
Act 1,Scene 2,dialogue,Nephew,"But, why? Why?"
Act 1,Scene 2,dialogue,Scrooge,Why did you get married?
Act 1,Scene 2,dialogue,Nephew,Because I fell in love.
Act 1,Scene 2,dialogue,Scrooge,"That, sir, is the only thing that you have said to me
in your entire lifetime which is even more ridiculous than
“Merry Christmas!” [Turns from Nephew] Good afternoon."
Act 1,Scene 2,dialogue,Nephew,"Nay, Uncle, you never came to see me before I
married either. Why give it as a reason for not coming now?"
Act 1,Scene 2,dialogue,Scrooge,"Good afternoon, Nephew!"
Act 1,Scene 2,dialogue,Nephew,"I want nothing from you; I ask nothing of you; why
cannot we be friends?"
Act 1,Scene 2,dialogue,Scrooge,Good afternoon!
Act 1,Scene 2,dialogue,Nephew,"I am sorry with all my heart, to find you so
resolute. But I have made the trial in homage to Christmas,
and I’ll keep my Christmas humor to the last. So A Merry
Christmas, Uncle!"
Act 1,Scene 2,dialogue,Scrooge,Good afternoon!
Act 1,Scene 2,dialogue,Nephew,And a Happy New Year!
Act 1,Scene 2,dialogue,Nephew,"[He stands facing Scrooge.] Uncle, you are the
most . . . [Pauses] No, I shan’t. My Christmas humor is
intact . . . [Pause] God bless you, Uncle . . . [Nephew turns and
starts for the door; he stops at Cratchit‘s cage.] Merry Christmas,
Bob Cratchit . . ."
Act 1,Scene 2,dialogue,Cratchit,"Merry Christmas to you sir, and a very, very happy
New Year . . ."
Act 1,Scene 2,dialogue,Scrooge,"[Calling across to them] Oh, fine, a perfection, just
fine . . . to see the perfect pair of you; husbands, with wives
and children to support . . . my clerk there earning fifteen
shillings a week . . . and the perfect pair of you, talking about
a Merry Christmas! [Pauses] I’ll retire to Bedlam!"
Act 1,Scene 2,dialogue,Nephew,[To Cratchit] He’s impossible!
Act 1,Scene 2,dialogue,Cratchit,"Oh, mind him not, sir. He’s getting on in years, and
he’s alone. He’s noticed your visit. I’ll wager your visit has
warmed him."
Act 1,Scene 2,dialogue,Nephew,"Him? Uncle Ebenezer Scrooge? Warmed? You are a
better Christian than I am, sir."
Act 1,Scene 2,dialogue,Cratchit,"[Opening the door for Nephew; two Do-Gooders
will enter, as Nephew exits] Good day to you, sir, and
God bless."
Act 1,Scene 2,dialogue,Nephew,"God bless . . . [One man who enters is portly, the other
is thin. Both are pleasant.]"
Act 1,Scene 2,dialogue,Cratchit,"Can I help you, gentlemen?"
Act 1,Scene 2,dialogue,Thin Man,"[Carrying papers and books; looks around Cratchit to
Scrooge] Scrooge and Marley’s, I believe. Have I the pleasure
of addressing Mr. Scrooge, or Mr. Marley?"
Act 1,Scene 2,dialogue,Scrooge,"Mr. Marley has been dead these seven years. He
died seven years ago this very night."
Act 1,Scene 2,dialogue,Portly Man,"We have no doubt his liberality
is well represented by his surviving partner . . . [Offers his
calling card]"
Act 1,Scene 2,dialogue,Scrooge,"[Handing back the card; unlooked at] . . . Good
afternoon."
Act 1,Scene 2,dialogue,Thin Man,"This will take but a moment, sir . . ."
Act 1,Scene 2,dialogue,Portly Man,"At this festive season of the year, Mr. Scrooge, it
is more than usually desirable that we should make some
slight provision for the poor and destitute, who suffer greatly
at the present time. Many thousands are in want of common
necessities; hundreds of thousands are in want of common
comforts, sir."
Act 1,Scene 2,dialogue,Scrooge,Are there no prisons?
Act 1,Scene 2,dialogue,Portly Man,Plenty of prisons.
Act 1,Scene 2,dialogue,Scrooge,"And aren’t the Union workhouses still in
operation?"
Act 1,Scene 2,dialogue,Thin Man,"They are. Still, I wish that I could say that they
are not."
Act 1,Scene 2,dialogue,Scrooge,"The Treadmil and the Poor Law are in full vigor, then?"
Act 1,Scene 2,dialogue,Thin Man,"Both very busy, sir."
Act 1,Scene 2,dialogue,Scrooge,"Ohhh, I see. I was afraid, from what you said at
first, that something had occurred to stop them from their
useful course. [Pauses] I’m glad to hear it."
Act 1,Scene 2,dialogue,Portly Man,"Under the impression that they scarcely furnish
Christian cheer of mind or body to the multitude, a few of us
are endeavoring to raise a fund to buy the Poor some meat
and drink, and means of warmth. We choose this time,
because it is a time, of all others, when Want is keenly felt,
and Abundance rejoices. [Pen in hand; as well as notepad] What
shall I put you down for, sir?"
Act 1,Scene 2,dialogue,Scrooge,Nothing!
Act 1,Scene 2,dialogue,Portly Man,You wish to be left anonymous?
Act 1,Scene 2,dialogue,Scrooge,"I wish to be left alone! [Pauses; turns away; turns
back to them] Since you ask me what I wish, gentlemen, that is
my answer. I help to support the establishments that I have
mentioned: they cost enough: and those who are badly off
must go there."
Act 1,Scene 2,dialogue,Thin Man,"Many can’t go there; and many would rather die.
Scrooge. If they would rather die, they had better do it, and
decrease the surplus population. Besides—excuse me—I
don’t know that."
Act 1,Scene 2,dialogue,Thin Man,But you might know it!
Act 1,Scene 2,dialogue,Scrooge,"It’s not my business. It’s enough for a man to
understand his own business, and not to interfere with other
people’s. Mine occupies me constantly. Good afternoon,
gentlemen!"
Act 1,Scene 2,description,,[Scrooge turns his back on the gentlemen and returns to his desk.]
Act 1,Scene 2,dialogue,Portly Man,"But, sir, Mr. Scrooge . . . think of the poor."
Act 1,Scene 2,dialogue,Scrooge,"[Turns suddenly to them. Pauses] Take your leave of
my offices, sirs, while I am still smiling."
Act 1,Scene 2,description,,"[The Thin Man looks at the Portly Man. They are undone. They
shrug. They move to the door. Cratchit hops up to open it for them.]"
Act 1,Scene 2,dialogue,Thin Man,"Good day, sir . . . [To Cratchit] A merry Christmas
to you, sir . . ."
Act 1,Scene 2,dialogue,Cratchit,Yes. A Merry Christmas to both of you . . .
Act 1,Scene 2,dialogue,Portly Man,Merry Christmas . . .
Act 1,Scene 2,description,,[Cratchit silently squeezes something into the hand of the Thin Man.]
Act 1,Scene 2,dialogue,Thin Man,What’s this?
Act 1,Scene 2,dialogue,Cratchit,Shhhh . . .
Act 1,Scene 2,description,,[Cratchit opens the door; wind and snow whistle into the room.]
Act 1,Scene 2,dialogue,Thin Man,"Thank you, sir, thank you."
Act 1,Scene 2,description,,"[Cratchit closes the door and returns to his workplace. Scrooge is
at his own counting table. He talks to Cratchit without looking up.]"
Act 1,Scene 2,dialogue,Scrooge,"It’s less of a time of year for being merry, and more
a time of year for being loony . . . if you ask me."
Act 1,Scene 2,dialogue,Cratchit,"Well, I don’t know, sir . . . [The clock’s bell strikes six
o’clock.] Well, there it is, eh, six?"
Act 1,Scene 2,dialogue,Scrooge,"Saved by six bells, are you?"
Act 1,Scene 2,dialogue,Cratchit,"I must be going home . . . [He snuffs out his candle
and puts on his hat.] I hope you have a . . . very very lovely
day tomorrow, sir . . ."
Act 1,Scene 2,dialogue,Scrooge,"Hmmm. Oh, you’ll be wanting the whole day
tomorrow, I suppose?"
Act 1,Scene 2,dialogue,Cratchit,"If quite convenient, sir."
Act 1,Scene 2,dialogue,Scrooge,"It’s not convenient, and it’s not fair. If I was to stop
half-a-crown for it, you’d think yourself ill-used, I’ll be bound?"
Act 1,Scene 2,description,,[Cratchit smiles faintly.]
Act 1,Scene 2,dialogue,Cratchit,"I don’t know, sir . . ."
Act 1,Scene 2,dialogue,Scrooge,"And yet, you don’t think me ill-used when I pay a
day’s wages for no work . . ."
Act 1,Scene 2,dialogue,Cratchit,It’s only but once a year . . .
Act 1,Scene 2,dialogue,Scrooge,"A poor excuse for picking a man’s pocket every
25th of December! But l suppose you must have the whole
day. Be here all the earlier the next morning!"
Act 1,Scene 2,dialogue,Cratchit,"Oh, I will, sir. I will. I promise you. And, sir . . .
Scrooge. Don’t say it, Cratchit."
Act 1,Scene 2,dialogue,Cratchit,But let me wish you a . . .
Act 1,Scene 2,dialogue,Scrooge,"Don’t say it, Cratchit. I warn you . . ."
Act 1,Scene 2,dialogue,Cratchit,Sir!
Act 1,Scene 2,dialogue,Scrooge, Cratchit!
Act 1,Scene 2,description,,[Cratchit opens the door.]
Act 1,Scene 2,dialogue,Cratchit,"All right, then, sir . . . well . . . [Suddenly] Merry
Christmas, Mr. Scrooge!"
Act 1,Scene 2,description,,"[And he runs out the door, shutting same behind him. Scrooge
moves to his desk; gathering his coat, hat, etc. A Boy appears at his
window . . . . ]"
Act 1,Scene 2,dialogue,Boy,[Singing] “Away in a manger . . .”
Act 1,Scene 2,description,,"[Scrooge seizes his ruler and whacks at the image of the Boy
outside. The Boy leaves.]"
Act 1,Scene 2,dialogue,Scrooge,"Bah! Humbug! Christmas! Bah! Humbug! [He shuts
out the light.]"
Act 1,Scene 2 Crossover,description,,"[A note on the crossover, following Scene 2:]"
Act 1,Scene 2 Crossover,description,,"[Scrooge will walk alone to his rooms from his offices. As he makes
a long slow cross of the stage, the scenery should change. Christmas
music will be heard, various people will cross by Scrooge, often
smiling happily.]"
Act 1,Scene 2 Crossover,description,,[There will be occasional pleasant greetings tossed at him.]
Act 1,Scene 2 Crossover,description,,"[Scrooge, in contrast to all, will grump and mumble. He will snap
at passing boys, as might a horrid old hound.]"
Act 1,Scene 2 Crossover,description,,"[In short, Scrooge’s sounds and movements will define him in
contrast from all other people who cross the stage: he is the
misanthrope, the malcontent, the miser. He is Scrooge.]"
Act 1,Scene 2 Crossover,description,,"[This statement of Scrooge’s character, by contrast to all other
characters, should seem comical to the audience.]"
Act 1,Scene 2 Crossover,description,,"[During Scrooge’s crossover to his rooms, snow should begin to
fall. All passers-by will hold their faces to the sky, smiling,
allowing snow to shower them lightly. Scrooge, by contrast, will
bat at the flakes with his walking-stick, as might an insomniac swat
at a sleep-stopping, middle-of-the-night swarm of mosquitoes. He
will comment on the blackness of the night, and, finally, reach his
rooms and his encounter with the magical specter: Marley, his
eternal mate.]"
Act 1,Scene 3,dialogue,Scrooge,"No light at all . . . no moon . . . that is what is at the
center of Christmas Eve: dead black: void . . ."
Act 1,Scene 3,description,,"[Scrooge puts his key in the door’s keyhole. He has reached his
rooms now. The door knocker changes and is now Marley’s face.
A musical sound: quickly: ghostly. Marley‘s image is not at all
angry, but looks at Scrooge as did the old Marley look at Scrooge.
The hair is curiously stirred; eyes wide open, dead: absent of focus.
Scrooge stares wordlessly here. The face, before his very eyes, does
deliquesce. It is a knocker again. Scrooge opens the door and
checks the back of same, probably for Marley‘s pigtail. Seeing
nothing but screws and nuts, Scrooge refuses the memory.]"
Act 1,Scene 3,dialogue,Scrooge,"Pooh, pooh!"
Act 1,Scene 3,description,,"[The sound of the door closing resounds throughout the house as
thunder. Every room echoes the sound. Scrooge fastens the door
and walks across the hall to the stairs, trimming his candle as he
goes; and then he goes slowly up the staircase. He checks each room:
sitting room, bedrooms, lumber-room. He looks under the sofa,
under the table: nobody there. He fixes his evening gruel on the
hob, changes his jacket. Scrooge sits near the tiny low-flamed fire,
sipping his gruel. There are various pictures on the walls: all of
them now show likenesses of Marley. Scrooge blinks his eyes.]"
Act 1,Scene 3,dialogue,Scrooge,Bah! Humbug!
Act 1,Scene 3,description,,"[Scrooge walks in a circle about the room. The pictures change back
into their natural images. He sits down at the table in front of the
fire. A bell hangs overhead. It begins to ring, of its own accord.
Slowly, surely, begins the ringing of every bell in the house. They
continue ringing for nearly half a minute. Scrooge is stunned by
the phenomenon. The bells cease their ringing all at once. Deep
below Scrooge, in the basement of the house, there is the sound of
clanking, of some enormous chain being dragged across the floors;
and now up the stairs. We hear doors flying open.]"
Act 1,Scene 3,dialogue,Scrooge,"Bah still! Humbug still! This is not happening! I won’t
believe it!"
Act 1,Scene 3,description,,"[Marley’s Ghost enters the room. He is horrible to look at: pigtail,
vest, suit as usual, but he drags an enormous chain now, to which
is fastened cash-boxes, keys, padlocks, ledgers, deeds, and heavy
purses fashioned of steel. He is transparent. Marley stands opposite
the stricken Scrooge.]"
Act 1,Scene 3,dialogue,Scrooge,How now! What do you want of me?
Act 1,Scene 3,dialogue,Marley,Much!
Act 1,Scene 3,dialogue,Scrooge,Who are you?
Act 1,Scene 3,dialogue,Marley,Ask me who I was.
