
mira y admira a mis gemelitas.”

				THE HERON: “Standing on one leg, the heron

watches and marvels at my twins.”



				 				 				 				 				By the time we arrived at Teresita’s house, towing the bleating goat by a mecate, an old rope, tied in a sailor’s knot around its neck, the sun was completely out. I figured it was eight or nine in the morning. Already the heat blazed down on us with a vengeance, and we were so dehydrated our tongues felt like thick, dry parchments in our mouths.

				We didn’t have to call out. An old man with a sun-weathered straw hat and faded overalls unbent himself from his chores in the garden to nod our way as we walked up to him. We couldn’t talk, we were so winded and fatigued from the long trek. Seeing our state, the old man walked over to a well, unhooked a tin pail, and dropped it carefully down into the water.

				“You look dried out,” he said, as he pulled the pail back up by the cord attached to the handle. “Come have some water. This is the best well in all of Mexico. It’s so cold and fresh, it could wake up the dead.”

				For a moment, I was wary of the old man and didn’t take the cup of fresh water. Instead, I looked down the well and saw nothing but the dark river water flowing freely, appetizingly on its way to some unknown destination.

				With my sisters standing a few feet away from us, looking scared but hopeful, I took the cup of water and sniffed it. It smelled like nothing and everything. It smelled like the freshness of spring and all the joy that it could bring. It smelled like a promise. Gingerly, I tasted it, letting the coolness of the water sit on my tongue while I decided if it was okay to let the girls have some. It tasted better than it smelled. It tasted like summer, like fun, like innocence in the Rio Grande; so I swallowed, and the purity of it was divine.

				We drank greedily from the pail, not bothering to talk or even look up at the old man, who seemed to be enjoying the scenery while he waited for us to get our fill.

				“That will do you,” he said, dumping out the rest of the water into the cement trough attached to the well. The splash scared off a scorpion who’d been sunning himself in the morning light.

				“We’re the Garza girls. We’re here to see Teresita,” I said as I wiped my mouth with the back of my hand. “Is this her place?”

				“What took you so long?” he asked, waving to the front door of the shack. “Come in. She’s been waiting for you for ages. ”Teresita was not who we expected. For starters, she didn’t look like a woman. She looked like an old man dressed up like an old woman. There was just nothing feminine about her. Her floral print cotton dress hung on her rail-thin body like a discarded flour sack. She looked like a praying mantis, bent over, sitting at her table, rubbing her hands together. When she waved us in, we saw that her hands were big and bony with huge knuckles. The tips of her fingers were blunt, squared off, and tapered like those of a working man. Her nose, too, was unusually masculine. It was big and swollen and riddled with crevices and white, scarred blemishes. It hung like a bulbous mushroom in front of her face.

				 But that wasn’t the worst of it. No, the worst of it was her small, naked head. Except for a few gray strands of hair, she was as bald as a baby pigeon, which gave her the appearance of being a very old man with enormous, wide eyes. The only feminine thing about her was the huge pair of silver earrings, which hung so low on her thin, elongated earlobes, they touched her shoulders.

				“Come here. Let me look at you closely. My eyes are not as good as they used to be, thanks to these miserable cataracts,” Teresita said, her skeletal fingers waving us in, urging us closer. As we neared the table, we saw what she meant. Her pupils were clouded over, opaque, and she seemed to not know exactly where we were standing in the room.

				“Cecilia said — ” Juanita said, pulling the bleating goat behind us.

				“I know,” Teresita said, a genuine smile lifting the sides of her thin, shriveled mouth.

				“We brought you this cabrito. For your services,” I said.

				“Sí, sí, gracias,” Teresita said, taking the goat and untying the knot at its throat. She picked it up, stroked it, kissed it, and then let it go. The goat ran off and made her way out the open door, bleating happily the whole way. “Sit down, sit down.”

				I sat down on the only other chair at her little table. Juanita scooted in beside me, and the rest of the girls huddled behind us.

				“You want to know how to get to your abuelita’s house,” Teresita said, picking up an old deck of cards with unusual images on them.

				“Lotería!” Pita cried, exultantly. “Oh, goodie. Can I play?”
